,id,date,topic_id,topic_prob,year,url,article,top_terms,MainTopic,rep_docs,HumanJudgement,Correct,Accuracy,
0,1905554,9/26/2017,2,0.686748,2017,https://timesofindia.indiatimes.com/city/chandigarh/ill-be-with-people-of-gurdaspur-24x7/articleshow/60835249.cms,"CHANDIGARH: Aam Aadmi Party's (AAP) nominee for Gurdaspur Lok Sabha constituencyMajor General Suresh Khajuria (retd) projects himself as a farmer's son who believes that crop loan waiver is not a solution to farmers' plight. Talking to TOI's Yudhvir Rana, he says Gurdaspur has so far been represented by 'outsiders' but he will be with the voters round the clock.You are pitted against seasoned and influential politicians backed by established political parties. Being a new entrant in politics do you find yourself in a tight spot?Not at all, my competition is with no one but myself. Be sides, being a local, my party is my strength. I think voters have the power to tell how a seasoned, wealthy, influential or even a rejected politician is. I am approaching voters saying that I'll be with them 24X7, in all good and not-so-good times. This constituency has largely been represented by outsiders.The AAP is a young party and political parties need some time to mature. People have tolerated 120-year-old party for so long, let's tolerate this emerging political party for at least a decade to witness the difference in governance and performance. How do you look at the circumstances which are leading to farmers' suicides?Our state has multiple farm-related problems. I am a farmer's son and have witnessed drought in 1963 and in 1965. I know how it feels when someone sells his utensils to buy one meal a day . Complete loan waiver is not an answer to farmers' predicament. We have to go into the genesis of the issue. I believe in an ancient Chinese axiom which says `Give a man a fish and you have fed him once, teach him how to fish and you have fed him for lifetime'. This region of Punjab has contributed maximum during the green revolution. Farmers are sinking under a debt trap. Governments announce loan waivers, they (farmers) again borrow loans. It's a vicious circle. We have to make them self-reliant and no one is doing that. So far, how has your journey from a decorated soldier to a politician been?Of course, I'm new to politics. I'm trying to learn its nuances and like my successful carrier in the Ar my, hoping to successfully sail through this too. I've finished my responsibilities and have all the time in this world for the people of Gurdaspur Lok Sabha constituency. Besides, a soldier speaks from heart and I speak to the people from heart. I promise my people only one thing, that I will be their voice in Delhi Darbar. What are the key issues of your constituency?First and foremost issue is the lack of proper education infrastructure. When I was studying here, there were schools without roofs or benches. Ironically, they still exist, and there is not a single institute for higher education in the entire area. Textile mills have either closed down or shifted to neighbouring tax haven states, youth are in despair and frustrated for there are no job opportunities. There are various means to revive and rejuvenate the sluggish governance. I have a few things in mind but I can't discuss them at this stage. Any new industry which you would want to bring to Gurdaspur?Tourism is one. We have abundance of unexploited natural treasure. Dunera has beautiful landscapes and tourists who go to Dalhousie can be attracted to lower hills, where we can develop water sports etc. But unfortunately, the traditional politicians have always neglected the area's tourism potential and have remained busy making promises they never fulfil. ","['bjp', 'party', 'candidate', 'congress', 'leader', 'seat', 'election', 'assembly', 'sena', 'sabha']",Politics,shiv sena chief uddhav thackeray friday said bjp riding popularity sena last year spite performance charisma enjoyed position power firing fussilade thackeray suggested bjp ungrateful exploited support sena corner key position power otherwise dream contested poll sena came power took city chair deputy mayor shared bjp ever got anything thane last thackeary called bjp party liar pointing promise chief minister devendra fadnavis poll municipal corporation last uddhav demanded delivered promise gift crore kdmc infrastructure development raised issue bordering kdmc promised exclude kdmc jurisdiction special planning body overall added promise made central government demonitisation affected demonetization common man suffered questioned chief remark towards corruption allegation tmc pointing towards closeness chief minister civic commissioner call late show appoints civic chief every said uddhav drew attention administration towards violation poll code,Politics,Yes,Correct,17%
1,2562717,5/2/2021,6,0.999996,2021,https://timesofindia.indiatimes.com/citizen-reporter/stories/drinkingwater/articleshow/82349869.cms,Drinking Water Tank at Link road opp Eskay Resort Borivali west. ,"['water', 'supply', 'dam', 'drinking', 'pipeline', 'tanker', 'reservoir', 'river', 'area', 'irrigation']",WaterResources,public health engineering department found quality water water collected phed line various part city failed clear quality standard human consumption test conducted time india suresh gyan vihar organization related water conservation safe drinking water feel report indicates official apathy towards basic public area covered toi report satisfactory water past year incessant exploitation ground water along increase level water supplied city rajendra activist jaldhara ngo involved clean water issue worsened following deliberate ignorance phed sanganer water water still supplied explains quality water water sample collected toi failed one six crucial parameter safe drinking fluoride level found exceptionally phed official found water scenario city testing facility study water sample across situation unfair label water unfit senior phed official said department minister principal secretary visit department unable though department invited toi present test maintained test conducted showed major anomaly water response phed official expected reportedly filed complaint chief medical health officer distributing pamphlet warning resident ambabari possibility disease areathe absence actual comprehensive water policy another cause difficulty faced state government policy deal water exploitation ground water tube well unrestrained quality water availability future maindola lok sampati sanrakshan samiti allowing including big industrialist property owner privilege draw ground government hesitant formulate maindola department official confess situation state alarming prompt action required avoid grave consequence properly regulate treat water factor like justified charge water strict water policy addressed phed official,WaterResources,Yes,Incorrect,3
2,581510,11/4/2010,73,0.517987,2010,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/kjo-at-the-bt-party/articleshow/6871920.cms,"
  Tut-tut, our Bollywood reporter — no doubt, still tripping from the high of the BT 16th Anniversary Halloween bash last Friday — failed to include Karan Johar in our pages of party coverage on Tuesday.
   
  And that’s a pity, because Bollywood’s prolific filmmaker came as himself, as debonair as ever, elegantly suited and booted in a wildly celebrating venue full of party animals given the license to come in costume as ghoul and ghost, witch and vampire. 
  
  And he did that for us, despite a growing tiredness that was making him drag his feet; despite the nagging thought that he had a midnight flight to take to Rome where his My Name Is Khan was showing at the Rome Film Festival; despite the fact that he had just packed in a press conference and had been pushing body, mind and soul before that over four episodes of his new season of Koffee With Karan that opens on Sunday with Aishwarya and Abhishek Bachchan. 
  
  Not to mention the card parties and dinner with Ekta Kapoor that completed KJo’s calendar last week. Poor man! The result was he never made it to Rome and from there to Berlin — where he was to celebrate buddy Shah Rukh Khan’s 45th birthday. KJo was down with malaria the same night. And advised bed rest for 12 days. That’s where he is now, taking the weight of Bollywood off his feet, catching up on sleep, missing friends, and restless as hell. He was too weak to even call up SRK and wish the Bollywood Badshah on his birthday. And that’s making us feel awful. 
  
  Also guilty, because KJo might have gone onto Rome and Berlin, perhaps to discover the malaria there. Instead, he came all the way downtown to wish us on our anniversary. And we forgot to count him among those who had. A thousand apologies...
  
  
  Check out Karan Johar’s pics
 ","['wedding', 'marriage', 'couple', 'groom', 'guest', 'bride', 'ceremony', 'married', 'family', 'friend']",LIfeStyle,wedding reception son medico guruva bride harsha one cool sunday afternoon quite impressive guestlist city turning film biggies like balakrishna krishna walked looking casual politico like lagadapati rajagopal badminton guru pullela gopichand turned bless looked picture,LIfeStyle,Yes,,
3,2326922,1/17/2020,84,1,2020,https://timesofindia.indiatimes.com/business/india-business/yes-bks-cap-raise-holds-key-moodys/articleshow/73310779.cms,"Mumbai: Moody’s has placed Yes Bank’s ratings under review with a remark that further direction was uncertain. At the same time, the ratings agency has downgraded the bank’s baseline credit assessment to Caa2 from B3. The placing of Yes Bank’s deposit rating of B2 under review reflects Moody’s expectation that the lender’s standalone viability is getting increasingly challenged by its slowness in raising new capital. The ratings agency said that the potential credit risk to the bank’s creditors is uncertain because there are several diverse scenarios that could affect it in either positive or negative directions. Yes Bank is in discussions with a number of investors to raise new equity capital, which would be credit-positive if executed successfully. If the bank successfully recapitalises, repairs and cleans its balance sheet, its ratings could stabilise or be upgraded. According to Moody’s, if a private sector solution is unsuccessful, and a regulatory led resolution is implemented, Moody’s expects that Indian authorities will strive to maintain systemic stability and avoid losses to depositors and senior creditors. Any concrete measures from Indian authorities to resolve the bank without losses to the depositors and senior creditors could also lead to a stabilisation or an upward movement in the bank’s ratings. “Because the viability of the bank absent a large capital injection is in question, Moody’s has downgraded the bank’s standalone credit profile or its BCA to Caa2 from B3,” said Moody’s vice-president and senior credit officer Alka Anbarasu. A scenario where neither a private sector recapitalisation nor balance sheet repair are forthcoming would be credit-negative, and could lead to a downward movement of the bank’s ratings. ","['bank', 'loan', 'rate', 'sbi', 'rbi', 'lender', 'strike', 'interest', 'banking', 'crore']",Business,new put hold french banking major societe proposed joint venture state bank india operating custodial depository service reserve bank india raised concern recent security fraud tune senior sbi official said bank received communique towards end finance sbi decided form joint venture company venture custodial service sbi majority stake socgen already acquired stake another sbi asset management run mutual fund sbi holding rest fate sbi asset management affected concern alleged involvement trading senior government official said proposal socgen put hold time following rbi said french bank apply addressing concern societe generale one biggest bank manages bank lost billion rogue trading single employee paris january learnt imposed fine french bank adhering trading norm custodial business encompasses range including corporate dividend collection proxy tax reclaim service fund besides providing market news socgen planning provide custodial service foreign institutional leveraging multinational state bank appoint ceo socgen deputy ceo proposed sbi supposed invest crore socgen bring foreign direct investment worth said rbi raised objection proposal pointing government need account regulatory supervisory concern arising international development clearing proposed,Business,Yes,Accuracy,85%
4,2211926,6/1/2019,84,1,2019,https://timesofindia.indiatimes.com/business/india-business/jets-lenders-reluctant-to-take-large-loan-haircut/articleshow/69604954.cms,"MUMBAI: Lenders to Jet Airways are reluctant to agree to a restructuring proposal with a large haircut and debt conversion. Banks are seeing limited upside on a proposal where they will have to make large upfront provisions and wait for a long time for offloading the equity they will hold through debt conversion. This means that chances of lenders approving a restructuring package for the airline, without a government nudge, are low. On Friday, SBI chairman Rajnish Kumar’s meeting with bureaucrats in the aviation ministry raised speculation of a new resolution plan for Jet Airways. Hardeep Puri, the newly-appointed minister of state with independent charge of aviation ministry, was petitioned on social media by employees and customers of the grounded airline to help revive it. Sources said that the proposal Hinduja group has in mind involves a huge haircut, fresh loans and partnership by Etihad and one more financial investor. “They (Hindujas) are aware that there are no other bidders and that in an airline there is not much scope for recovery through the bankruptcy route,” said a banker. But despite not having alternatives, lenders are reluctant as there is a likelihood of the airline coming under a probe by the Serious Fraud Investigation Office (SFIO). Besides the overhang of investigation, Jet Airways has seen its top management exit. On Thursday the airline said that it was not able to approve its annual results due to the large-scale attrition in its board and senior management. While announcing SBI’s financial results earlier this month, Kumar had said that the bank had made disproportionate efforts in reviving the airline to which it had a Rs 1,600-crore exposure. He said that the bank had already started making provisions towards these loans. Among others, the second-largest lender Punjab National Bank has not yet classified Jet Airways as a non-performing asset (NPA) but has made provisions towards its loan. IDBI Bank has classified Jet as an NPA and has made provisions. Should the banks agree to an 80% haircut they will have to immediate make provisions in their financial results as what they have set aside is less than half of their loan. According to a senior executive with an asset reconstruction company (ARC), bankers can look at parking their loans with an ARC. This will enable them to facilitate a revival without management of several banks having to expend efforts on their loan with a very small recovery. ","['bank', 'loan', 'rate', 'sbi', 'rbi', 'lender', 'strike', 'interest', 'banking', 'crore']",Business,new put hold french banking major societe proposed joint venture state bank india operating custodial depository service reserve bank india raised concern recent security fraud tune senior sbi official said bank received communique towards end finance sbi decided form joint venture company venture custodial service sbi majority stake socgen already acquired stake another sbi asset management run mutual fund sbi holding rest fate sbi asset management affected concern alleged involvement trading senior government official said proposal socgen put hold time following rbi said french bank apply addressing concern societe generale one biggest bank manages bank lost billion rogue trading single employee paris january learnt imposed fine french bank adhering trading norm custodial business encompasses range including corporate dividend collection proxy tax reclaim service fund besides providing market news socgen planning provide custodial service foreign institutional leveraging multinational state bank appoint ceo socgen deputy ceo proposed sbi supposed invest crore socgen bring foreign direct investment worth said rbi raised objection proposal pointing government need account regulatory supervisory concern arising international development clearing proposed,Business,Yes,,
5,2210780,5/29/2019,25,0.549541,2019,https://timesofindia.indiatimes.com/city/bhopal/thirst-turns-bundelkhand-village-into-no-mans-land/articleshow/69550099.cms,"BHOPAL: Nearly an entire village in Bundelkhand lies deserted as 400 people have migrated to Jabalpur in search of water. With temperatures crossing 45 degrees and even handpumps drying up, 80% of Panjhiri village in a remote part of Damoh district have locked up and left. Migration for jobs is common in villages of Bundelkhand. But now they are being driven out by thirst. The water woes in Panjhiri started as early as April — a sad reflection of how basic infrastructure is little more than a mirage in these parts. By early May, things were unbearable. All three tube wells went dry. The village is in Sahajpura panchayat, which has 13 handpumps. Three of them are in Panjhiri. And all three crank out hot air these days. People started moving out in a trickle. Now, only those who can’t, have stayed back. With monsoon likely to be delayed, more villages may get deserted. The entire Tendukheda block, where Panjhir lies, is parched. Of the 181 villages in this block, more than 100 face acute water shortage and people have to walk 2-5 km to fetch a bucket of water. Rows of locked houses in Panjhir bear testament to how bad things are. Those who are left behind spend half their time in search of water. Panjhiri, located on a hillock near Patan tehsil of Jabalpur, has a mixed population of scheduled caste and backward communities. Forced homeless by thirst, most of them work as rickshawpullers in Jabalpur and spend nights on the footpath. Vandana Ahirwar, one of the women left behind in the small hillock hamlet, said, “We have to walk 8km to fetch water. You can’t imagine how gruelling it is to walk that far and back in this heat with a matka on your head. Some of the water we get with so much pain spills along the way.” Bhima Ahirwar, who couldn’t take it any longer and migrated last week, said, “If you spend half of your day in search of a pot of water, when will you work?” Sarpanch of the panchayat, Priti Khangar, said the administration was informed several times about the water crisis and non-functioning tubewells but in vain. Her husband Ganesh Khangar said villagers migrated because of water scarcity. District panchayat officials admit there is “acute water scarcity” in the village but refused to link it to migration. Collector Neeraj Singh, said, “I will personally visit the village and ensure that water scarcity is resolved.” ","['land', 'housing', 'estate', 'developer', 'property', 'flat', 'real', 'plot', 'development', 'builder']",RealEstate,new delhi development authority putting seal approval policy meeting people already lured buying builder actually plan policy real estate expert worry builder luck shortchanging potential buyer offering home land new land policy free urban mostly periphery small landholding village surrendered create infrastructure like road return substantial portion land last delhi government declared village urban village eligible land area covering village north delhi divided like dwarka emerge pooled real regulation requiring certain norm building developer soliciting buyer presumption land available book ask office call process builder confided toi reporter posed potential flat though project cannot launched without obtaining building plan sanctioned registration formality gullible buyer committed money housing exist developer fraudulently collected lakh advance payment interested builder shut shop vanished collecting huge cautioned mukesh advised buyer verify document credibility developer investing dda aware initiated communication programme clarify policy yet become unscrupulous promoter opened kiosk dwarka locality neighbouring distribute pamphlet brochure promoting housing said dda dda official received text message scheme,WaterResources,No,,
6,1357254,9/24/2014,25,0.557693,2014,https://timesofindia.indiatimes.com/city/chandigarh/traders-rue-poor-facilities-at-attari-icp-suspend-operations/articleshow/43277449.cms,"ATTARI: Eid and Diwali celebrations could be hit in India and Pakistan with importers and exporters declaring indefinite suspension of trade with Pakistan owing to poor infrastructure at India's only integrated check post (ICP) at Attari.  However, traders on Tuesday allowed around 100 truckloads of tomatoes to cross the border to prevent losses to Indian traders while around 50 trucks of cement arrived from Pakistan. Goods worth Rs 350 crore are traded monthly between the two countries through ICP.  The traders' association and Attari Truck Operators' Union have joined hands to suspend trade demanding proper facilities at the ICP.  In the wake of Eid, there was huge demand for tomatoes, vegetables and meat in Pakistan. Similarly dry fruits were in huge demand in India. But the festivities could be hit due to the indefinite strike at ICP, said president of Federation of Karyana and Dry Fruit Commercial Associations and an importer and exporter, Anil Mehra. No trader wanted to suspend trade, but they were forced to do so since they had to bear losses, he said.  President of Cement Importers' Association, M P Singh Chatha, said, ""Central Warehousing Corporation (CWC) has failed to provide proper infrastructure at ICP due to which trade with Pakistan was not flourishing. We need goods in the same condition in which they are sent by Pak exporters, but goods often get damaged here due to carelessness of CWC.""  He also blamed CWC for charging demurrage as and when truck enters from Pakistan. ""We should be given at least 72 hours' time for clearance and loading of goods,"" he said.  Executive member of truck union Parminder Singh said that sometimes they have to wait for three days for their turn for clearance of goods. He said only drivers are allowed to go inside ICP and not the helper and in case of rain, driver alone couldn't cover the truck with tarpaulin. When the goods are damaged in rain, dealers often ask transporters to pay compensation, he said.  Truck driver Amarjit Singh said there was only one weighing machine at ICP and hundreds of trucks queue up for weighing, making it a time-consuming exercise. ""We have to stay inside ICP for clearance for more than six hours and there is no basic infrastructure for us like toilet or canteen,"" he said.  CWC manager Rameshwar said, ""We have all the space and infrastructure at ICP"". On charges by traders about Pak cement or other goods getting damaged in rain, he said many a time, Pak customs or Rangers also check the goods and remove the tarpaulin from the truck. If it rains then, the goods were bound to get wet in rain.  Similarly, he said, when trucks from Pakistan cross Indian border, the tarpaulin was removed for rummaging and other security checks. ""We can't help if it rains then, but these are very rare incidents,"" he said. There were certain technical reasons like formalities of customs clearance, etc., which takes time. ""Transporters and traders are not ready to understand these issues,"" he said.  BOX  Rs 150-crore complex  Former home minster P Chidambaram had laid the foundation stone for ICP on February 20, 2010, with a view to boost trade and commerce between India and Pakistan. It was constructed at a cost of Rs 150 crore on 130 acres of land acquired by the Punjab government. On April 13, 2012, Chidambaram had inaugurated the ICP.  Box  Main trade items  Goods, including fresh vegetables, soybean, cotton, polypropylene, polyethylene, carbon dioxide, etc., are exported to Pakistan while items like cement, soda ash, gypsum, glass, rags, sugar and dry dates were imported from Pakistan via ICP.  BOX  Meeting today  Keeping in view the Indo-Pak trade crisis, especially so ahead of the festive season, the custom officials have convened a meeting of representatives of traders, truck operators, CWC and civil administration. The meeting will be held on Wednesday, said president of Cement Importers Association MP Singh Chatha. ","['land', 'housing', 'estate', 'developer', 'property', 'flat', 'real', 'plot', 'development', 'builder']",RealEstate,new delhi development authority putting seal approval policy meeting people already lured buying builder actually plan policy real estate expert worry builder luck shortchanging potential buyer offering home land new land policy free urban mostly periphery small landholding village surrendered create infrastructure like road return substantial portion land last delhi government declared village urban village eligible land area covering village north delhi divided like dwarka emerge pooled real regulation requiring certain norm building developer soliciting buyer presumption land available book ask office call process builder confided toi reporter posed potential flat though project cannot launched without obtaining building plan sanctioned registration formality gullible buyer committed money housing exist developer fraudulently collected lakh advance payment interested builder shut shop vanished collecting huge cautioned mukesh advised buyer verify document credibility developer investing dda aware initiated communication programme clarify policy yet become unscrupulous promoter opened kiosk dwarka locality neighbouring distribute pamphlet brochure promoting housing said dda dda official received text message scheme,India-Pakistan,No,,
7,1345047,8/31/2014,78,0.961727,2014,https://timesofindia.indiatimes.com/entertainment/events/mumbai/vj-andy-and-elli-avram-at-the-launch-of-fling-with-bling-collection/articleshow/41269364.cms,"Designer Salima Lalani presented her ‘Fling with Bling’ collection recently, amidst a gathering attended by her friends and patrons. The collection features creations that are a fusion of Indian drapes on western silhouettes and vice versa.   	The gowns in the new line combine sari pleats along with lehengas worn with cowled crop tops. Also present were Lavinia Chetan Hansraj and Sandhya Shetty.  	The collection has been blinged up with sequins and Swarovski crystals in bright colours like coral, turquoise and fuschia. Salima will present this collection at the India Fashion Week in Dubai soon.  ","['fashion', 'designer', 'collection', 'design', 'ramp', 'show', 'couture', 'model', 'khadi', 'colour']",LIfeStyle,ahmedabad slated first major fashion fiesta coming extravaganza tata indicom ahmedabad fashion bring together best budding fashion corporate head set undisputed king event fashion conference fashion advisor umang hutheesing said kind event long overdue rich textile fashion week hope fashion week year brainchild hutheesing meeta budding event start april glitzy display select creation budding designer including like rahul mishra nachiket creation subsequently display hutheesing visual art centre april interesting aspect event trainee designer design school like nid nift opportunity interaction high time realised fashion merely glamour way event much getting glitterati chatterati give platform labour provide impetus textile tradition like chikan sparked renewed say,LIfeStyle,Yes,,
8,1468029,5/4/2015,55,0.999873,2015,https://timesofindia.indiatimes.com/city/delhi/raj-era-church-banks-on-people-for-facelift/articleshow/47143568.cms," NEW DELHI: The Cathedral Church of Redemption traces its origin to the early 1900s. Built in eight years and completed in 1931, the church has high arches and delicate domes and is said to resemble a birthday cake with a candle placed on top. For the first time, it will undergo a comprehensive conservation programme conducted by the church committee under the supervision of India National Trust for Art and Cultural Heritage. The project is being completely funded through donations by churchgoers.  Located east of Parliament House and Rashtrapati Bhavan which was used by the British Viceroy, the Cathedral Church of Redemption derives its name from Palladio's Church of Il Redentore in Venice. According to historians, the church’s centralized plan blends neatly with Sir Edwin Lutyens’ city plan.  “With Viceroy Lord Irwin’s keen support, the church, built according to Henry Alexander Medd’s (1892-1977) design, was opened for public worship on Sunday, January 18, 1931. Medd’s design was inspired by the Palladio Church of Il Redentore in Venice as well as Lutyens’ Hampstead church,” reads a description of the building. Through the decades, however, the building has suffered wear and tear. While the interiors have seen repairs over the years, this is the first time the exterior façade will be the focus of conservation.  Construction work of the church started in 1927 and was completed in 1931. The domes were added by 1935. “The church was considered a majestic part of the new capital city and has witnessed history. A few years ago, the interiors of the church saw elaborate restoration including rewirings, repairing, flooring and polishing. Now our focus is on the conservation of the exteriors of the church. Church members are all pledging money for the work over a period of a year in installments,” said Rev Paul Swaroop.  The project would cost approximately Rs 1.3 crore. Major areas of concern seen in the church are algae growth, accumulation of dust, water seepage, flaking and disintegration of plaster, vegetation growth, paint layer over fenestrations and at the fixing joints, weathering of red sandstone at plinth and flooring of porches. “The column capitals are also defaced and have stains on them. Superficial cracks can be seen wherever the surfaces have been plastered,” said an official.  According to Reverend Paul Swaroop, the church committee had approached the government several times to conserve the building which is listed as a Grade A heritage building. “In spite of approaching the government several times, we only got empty assurances. We were told during Commonwealth Games that the government would allocate money for the church’s conservation. The committee then decided to take over. Intach was brought in as a consultant. We invited tenders for conservation of the church and evaluated the responses before awarding the contract. Intach will supervise the project,” he said. ","['heritage', 'monument', 'temple', 'site', 'fort', 'archaeological', 'stone', 'museum', 'asi', 'structure']",Heritage,ancient history expert found megalithic menhir basrur udupi providing detail prof said monday tall stone slab found near venkataramana menhir resembles pregnant cannot ascertain built memory deceased pregnant found historically important mean pregnant kannada region important city trade known basaruru temple indicating splendid devi temple basrur special importance probably temple india temple feast performed every said prof temple region mahalingeshwara venkataramana kote anjaneya tuluveshwara devi ramachandra uma maheshwara bhairava garadi sadananda surviving example glorious word menhir adopted french india menhir tall monolithic stone slab often planted memory dead memorial stone mark graf megalithic menhir dated said prof discovery menhir near venkataramana temple basrur close similarity menhir found baise nilskal village shivamogga basrur venkataramana temple trustee murulidhar hegde pradeep basrur supported professor archaeology student ganesh chandru assisted,Heritage,Yes,,
